name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,merger_type,energy_released,E_GW,frequency,lookback_time,luminosity_distance_m,luminosity,luminosity_distance_lower_m,luminosity_distance_upper_m,luminosity_lower,luminosity_upper
GW191230_180458,GW191230_180458-v1,1261764316.4,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW191230_180458-v1,49.4,-9.6,14.0,37.0,-12.0,11.0,10.4,-0.4,0.3,4300.0,-1900.0,2100.0,-0.05,-0.31,0.26,86.0,-12.0,19.0,36.5,-5.6,8.2,37.14107377066716,,,0.69,-0.27,0.26,0.05,,,0.96159,,,82.0,-11.0,17.0,BH-BH,3.9545227864420026e+17,3.960000000000005e+17,15.854643368675156,6.432044553492957,1.32698e+26,2.2127819421647222e+27,-5.8634e+25,6.4806e+25,4.3202503035233355e+26,5.2776464926697816e+26
191225_215715,191225_215715-v1,1261346253.9,1,O3_IMBH_marginal,https://doi.org/10.7935/7583-5j44,http://gwosc.org/api/v2/event-versions/191225_215715-v1,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,Unknown,,,95.39969835279999,0.0,,,,,,
191223_014159,191223_014159-v1,1261100537.6,1,O3_IMBH_marginal,https://doi.org/10.7935/7583-5j44,http://gwosc.org/api/v2/event-versions/191223_014159-v1,,,,,,,14.19,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,Unknown,,,96.90688297671034,0.0,,,,,,
GW191222_033537,GW191222_033537-v1,1261020955.1,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW191222_033537-v1,45.1,-8.0,10.9,34.7,-10.5,9.3,12.5,-0.3,0.2,3000.0,-1700.0,1700.0,-0.04,-0.25,0.2,79.0,-11.0,16.0,33.8,-5.0,7.1,34.3797751290976,,,0.51,-0.26,0.23,1e-05,,,0.99,,,75.5,-9.9,15.3,BH-BH,3.864647268568326e+17,3.87000000000001e+17,82.7557613304815,5.268834153650378,9.258e+25,1.0770707127897515e+27,-5.2462e+25,5.2462e+25,3.458593733291534e+26,3.458593733291534e+26
GW191219_163120,GW191219_163120-v1,1260808298.4,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW191219_163120-v1,31.1,-2.8,2.2,1.17,-0.06,0.07,9.1,-0.8,0.5,550.0,-160.0,240.0,0.0,-0.09,0.07,32.3,-2.7,2.2,4.31,-0.17,0.12,4.313283036620797,,,0.11,-0.03,0.05,4.0,,,0.8224,,,32.2,-2.7,2.2,NS-BH,6291286251157749.0,6300000000000026.0,37.41523922560336,1.4694075140077603,1.6973000000000001e+25,3.6201543402099977e+25,-4.9376e+24,7.4064e+24,3.063667805268626e+24,6.893252561854408e+24
GW191216_213338,GW191216_213338-v1,1260567236.4,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW191216_213338-v1,12.1,-2.2,4.6,7.7,-1.9,1.6,18.6,-0.2,0.2,340.0,-130.0,120.0,0.11,-0.06,0.13,19.8,-0.93,2.7,8.33,-0.19,0.22,8.36050708483045,,,0.07,-0.03,0.02,1e-05,,,0.99,,,18.87,-0.93,2.81,BH-BH,8.358423162252402e+16,8.369999999999997e+16,18.79049026057455,0.9617790421303338,1.0492400000000001e+25,1.3834374933166142e+25,-4.0118000000000003e+24,3.7032e+24,2.0224994495718666e+24,1.723313140463602e+24
GW191215_223052,GW191215_223052-v1,1260484270.3,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW191215_223052-v1,24.9,-4.1,7.1,18.1,-4.1,3.8,11.2,-0.4,0.3,1930.0,-860.0,890.0,-0.04,-0.21,0.17,43.3,-4.3,5.3,18.4,-1.7,2.2,18.43457213268296,,,0.35,-0.14,0.13,1e-05,,,0.99,,,41.4,-4.1,5.1,BH-BH,1.4380082859789094e+17,1.4400000000000013e+17,71.58097238609412,3.987251295264063,5.95598e+25,4.4577563311894937e+26,-2.6539600000000003e+25,2.74654e+25,8.85112776865889e+25,9.479419017786245e+25
GW191204_171526,GW191204_171526-v1,1259514944.0,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW191204_171526-v1,11.7,-1.7,3.3,8.4,-1.7,1.3,17.4,-0.3,0.2,640.0,-260.0,200.0,0.16,-0.05,0.08,20.19,-0.95,1.64,8.56,-0.28,0.41,8.606763654262847,,,0.13,-0.05,0.04,1e-05,,,0.99,,,19.18,-0.93,1.71,BH-BH,8.268547644378738e+16,8.280000000000016e+16,49.61372443656412,1.7126129029073613,1.97504e+25,4.901868488429801e+25,-8.023600000000001e+24,6.172000000000001e+24,8.089997798287467e+24,4.7869809457322287e+24
GW191204_110529,GW191204_110529-v1,1259492747.5,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW191204_110529-v1,27.3,-5.9,10.8,19.2,-6.0,5.5,8.9,-0.6,0.4,1900.0,-1100.0,1700.0,0.05,-0.26,0.25,47.1,-7.8,9.1,19.8,-3.2,3.6,19.86953643140086,,,0.34,-0.18,0.25,3.3,,,0.74239,,,45.0,-7.5,8.7,BH-BH,1.3481327681052264e+17,1.35e+17,20.983441136030095,3.89789748507917,5.8634e+25,4.3202503035233355e+26,-3.3946000000000002e+25,5.2462e+25,1.4480617360839991e+26,3.458593733291534e+26
GW191129_134029,GW191129_134029-v1,1259070047.1,1,GWTC-3-confident,https://doi.org/10.7935/b024-1886,http://gwosc.org/api/v2/event-versions/GW191129_134029-v1,10.7,-2.1,4.1,6.7,-1.7,1.5,13.1,-0.3,0.2,790.0,-330.0,260.0,0.06,-0.08,0.16,17.5,-1.2,2.4,7.31,-0.28,0.43,7.331035095291489,,,0.16,-0.06,0.05,1e-05,,,0.99,,,16.8,-1.2,2.5,BH-BH,5.392531072420886e+16,5.399999999999981e+16,54.56592191001432,2.0648219826056464,2.43794e+25,7.468887020578707e+25,-1.01838e+25,8.023600000000001e+24,1.303255562475599e+25,8.089997798287467e+24
